text,real_labels,predicted_labels
Major let down is no pool to swim in .,"[{""aspect"": ""pool"", ""opinion"": ""no"", ""polarity"": ""NEG"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""pool"", ""polarity"": ""NEG"", ""opinion"": ""no"", ""category"": ""FACILITY#POOL""}]"
Well the tiny pool is next to the restaurant and not inviting for swimmers or sunbathers .,"[{""aspect"": ""pool"", ""opinion"": ""tiny"", ""polarity"": ""NEG"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""tiny pool"", ""polarity"": ""NEG"", ""opinion"": ""not inviting"", ""category"": ""FACILITY#POOL""}]"
Spa was AMAZING .,"[{""aspect"": ""Spa"", ""opinion"": ""AMAZING"", ""polarity"": ""POS"", ""category"": ""FACILITY#EXPERIENCE""}]","[{""aspect"": ""Spa"", ""polarity"": ""POS"", ""opinion"": ""Amazing"", ""category"": ""SERVICE#GENERAL""}]"
Honestly best massage I had in Bali ! .,"[{""aspect"": ""massage"", ""opinion"": ""best"", ""polarity"": ""POS"", ""category"": ""FACILITY#EXPERIENCE""}]","[{""aspect"": ""massage"", ""polarity"": ""POS"", ""opinion"": ""best"", ""category"": ""SERVICE#GENERAL""}]"
Lovely place in great location .,"[{""aspect"": ""place"", ""opinion"": ""Lovely"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}, {""aspect"": ""location"", ""opinion"": ""great"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""place"", ""polarity"": ""POS"", ""opinion"": ""Lovely"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""location"", ""polarity"": ""POS"", ""opinion"": ""great"", ""category"": ""LOCATION#GENERAL""}]"
Walking distance to beaches and great restaurants .,"[{""aspect"": ""restaurants"", ""opinion"": ""great"", ""polarity"": ""POS"", ""category"": ""FOOD#GENERAL""}]","[{""aspect"": ""beaches"", ""polarity"": ""POS"", ""opinion"": ""Walking distance"", ""category"": ""LOCATION#ATTRACTIONS""}, {""aspect"": ""restaurants"", ""polarity"": ""POS"", ""opinion"": ""Walking distance"", ""category"": ""LOCATION#NEARBY_AMENITIES""}]"
In house spa that is a magnificent experience with ginger tea to begin and end massage .,"[{""aspect"": ""spa"", ""opinion"": ""magnificent"", ""polarity"": ""POS"", ""category"": ""FACILITY#EXPERIENCE""}]","[{""aspect"": ""experience"", ""polarity"": ""POS"", ""opinion"": ""magical"", ""category"": ""HOTEL#EXPERIENCE""}]"
Staff are gorgeous and SO helpful .,"[{""aspect"": ""Staff"", ""opinion"": ""gorgeous"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""Staff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}]","[{""aspect"": ""Staff"", ""polarity"": ""POS"", ""opinion"": ""gorgeous"", ""category"": ""SERVICE#HOSPITALITY""}]"
I will stay again ! ! ! ! Pool is small but I went to the beach .,"[{""aspect"": ""Pool"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""Pool"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""FACILITY#POOL""}]"
The rooms are small but have every thing you need except a fridge which did not bother me .,"[{""aspect"": ""rooms"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""rooms"", ""opinion"": ""have every thing"", ""polarity"": ""POS"", ""category"": ""ROOM#AMENITIES""}]","[{""aspect"": ""rooms"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
"Staff are great and helpfull , location 5 min to the beach and eats in both directions .","[{""aspect"": ""Staff"", ""opinion"": ""great"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""Staff"", ""opinion"": ""helpfull"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}]","[{""aspect"": ""Staff"", ""polarity"": ""POS"", ""opinion"": ""great"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""location"", ""polarity"": ""POS"", ""opinion"": ""helpfull"", ""category"": ""LOCATION#GENERAL""}]"
i got promo price 199k for one night .,"[{""aspect"": ""price"", ""opinion"": ""promo"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""price"", ""polarity"": ""POS"", ""opinion"": ""promo"", ""category"": ""HOTEL#PRICE""}]"
"pros : - they provide tv , safe deposit box - clean room , cozy bed , good aircon - they provide kiblat locator inside the desk and a bible .","[{""aspect"": ""tv"", ""opinion"": ""provide"", ""polarity"": ""POS"", ""category"": ""ROOM#AMENITIES""}, {""aspect"": ""safe deposit box"", ""opinion"": ""provide"", ""polarity"": ""POS"", ""category"": ""ROOM#AMENITIES""}, {""aspect"": ""room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""bed"", ""opinion"": ""cozy"", ""polarity"": ""POS"", ""category"": ""ROOM#BED""}, {""aspect"": ""aircon"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""ROOM#AIRCON""}]","[{""aspect"": ""tv"", ""polarity"": ""POS"", ""opinion"": ""provide"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""room"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""bed"", ""polarity"": ""POS"", ""opinion"": ""cozy"", ""category"": ""ROOM#BED""}, {""aspect"": ""aircon"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""ROOM#AIRCON""}]"
"We stayed 2 weeks , the staff have been more than accommodating , the rooms yes are small .","[{""aspect"": ""rooms"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""more than accommodating"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""rooms"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
"Ani the reception manager is amazing , during our time here we have had need to have a doctor visit , and she went above and beyond ( thank you Ani ) .","[{""aspect"": ""manager"", ""opinion"": ""amazing"", ""polarity"": ""POS"", ""category"": ""SERVICE#ASSISTANCE""}]","[{""aspect"": ""reception manager"", ""polarity"": ""POS"", ""opinion"": ""amazing"", ""category"": ""SERVICE#HOSPITALITY""}]"
Clean and delicate rooms .,"[{""aspect"": ""rooms"", ""opinion"": ""Clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""rooms"", ""opinion"": ""delicate"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""Clean"", ""category"": ""ROOM#CLEANLINESS""}]"
Great bed and linens .,"[{""aspect"": ""bed"", ""opinion"": ""Great"", ""polarity"": ""POS"", ""category"": ""ROOM#BED""}, {""aspect"": ""linens"", ""opinion"": ""Great"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}]","[{""aspect"": ""bed"", ""polarity"": ""POS"", ""opinion"": ""Great"", ""category"": ""ROOM#BED""}, {""aspect"": ""linens"", ""polarity"": ""POS"", ""opinion"": ""Great"", ""category"": ""ROOM#BED""}]"
"The rooms are a bit small , but no problem for us .","[{""aspect"": ""rooms"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}]","[{""aspect"": ""rooms"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
Pool area is in the lobby / restaurant and is not that appealing .,"[{""aspect"": ""Pool area"", ""opinion"": ""not that appealing"", ""polarity"": ""NEG"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""Pool area"", ""polarity"": ""NEG"", ""opinion"": ""not that appealing"", ""category"": ""FACILITY#POOL""}]"
Small but good breakfast .,"[{""aspect"": ""breakfast"", ""opinion"": ""Small"", ""polarity"": ""NEG"", ""category"": ""FOOD#CHOICE""}, {""aspect"": ""breakfast"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""FOOD#GENERAL""}]","[{""aspect"": ""breakfast"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""FOOD#TASTE""}]"
New menu every day .,"[{""aspect"": ""menu"", ""opinion"": ""New"", ""polarity"": ""POS"", ""category"": ""FOOD#CHOICE""}]","[{""aspect"": ""menu"", ""polarity"": ""POS"", ""opinion"": ""New"", ""category"": ""FOOD#CHOICE""}]"
Good hotel with excellent location for the beach and seminyak .,"[{""aspect"": ""hotel"", ""opinion"": ""Good"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""location"", ""opinion"": ""excellent"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""location"", ""polarity"": ""POS"", ""opinion"": ""excellent"", ""category"": ""LOCATION#GENERAL""}]"
Breakfast is not worth it and the pool is questionable as a pool .,"[{""aspect"": ""Breakfast"", ""opinion"": ""not worth it"", ""polarity"": ""NEG"", ""category"": ""FOOD#PRICE""}, {""aspect"": ""pool"", ""opinion"": ""questionable"", ""polarity"": ""NEG"", ""category"": ""FACILITY#POOL""}]","[{""aspect"": ""Breakfast"", ""polarity"": ""NEG"", ""opinion"": ""not worth"", ""category"": ""FOOD#PRICE""}, {""aspect"": ""pool"", ""polarity"": ""NEG"", ""opinion"": ""questionable"", ""category"": ""FACILITY#POOL""}]"
We arrived late on our first night and the restaurant cooked us a nice meal at about 9 : 30 .,"[{""aspect"": ""restaurant"", ""opinion"": ""nice meal"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""restaurant"", ""polarity"": ""POS"", ""opinion"": ""nice"", ""category"": ""FOOD#TASTE""}]"
Staff are very friendly and helpful Spa is good .,"[{""aspect"": ""Staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""Staff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""Spa"", ""opinion"": ""good"", ""polarity"": ""POS"", ""category"": ""FACILITY#EXPERIENCE""}]","[{""aspect"": ""Staff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""Spa"", ""polarity"": ""POS"", ""opinion"": ""good"", ""category"": ""FACILITY#GENERAL""}]"
"For the price , this hotel is outstanding ! Lovely room although a little small , extremely clean , great staff and a lovely cheap spa .","[{""aspect"": ""price"", ""opinion"": ""outstanding"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}, {""aspect"": ""hotel"", ""opinion"": ""outstanding"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""room"", ""opinion"": ""Lovely"", ""polarity"": ""POS"", ""category"": ""ROOM#AMBIENCE""}, {""aspect"": ""room"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#AMBIENCE""}, {""aspect"": ""room"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""staff"", ""opinion"": ""great"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""spa"", ""opinion"": ""lovely"", ""polarity"": ""POS"", ""category"": ""FACILITY#GENERAL""}, {""aspect"": ""spa"", ""opinion"": ""cheap"", ""polarity"": ""POS"", ""category"": ""FACILITY#PRICE""}]","[{""aspect"": ""hotel"", ""polarity"": ""POS"", ""opinion"": ""outstanding"", ""category"": ""HOTEL#GENERAL""}, {""aspect"": ""room"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#GENERAL""}, {""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""great"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""spa"", ""polarity"": ""POS"", ""opinion"": ""lovely"", ""category"": ""SERVICE#HOSPITALITY""}]"
Didn ' t get a free breakfast so can ' t comment on that .,"[{""aspect"": ""breakfast"", ""opinion"": ""Didn ' t get a free"", ""polarity"": ""NEG"", ""category"": ""FOOD#PRICE""}]","[{""aspect"": ""breakfast"", ""polarity"": ""NEG"", ""opinion"": ""Didn't get a free"", ""category"": ""FOOD#GENERAL""}]"
Excellent location so near the beach and lots of bars shops and restaurants .,"[{""aspect"": ""location"", ""opinion"": ""Excellent"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""location"", ""polarity"": ""POS"", ""opinion"": ""Excellent"", ""category"": ""LOCATION#GENERAL""}, {""aspect"": ""beach"", ""polarity"": ""POS"", ""opinion"": ""near"", ""category"": ""LOCATION#ATTRACTIONS""}, {""aspect"": ""bars shops"", ""polarity"": ""POS"", ""opinion"": ""near"", ""category"": ""LOCATION#NEARBY_AMENITIES""}, {""aspect"": ""restaurants"", ""polarity"": ""POS"", ""opinion"": ""near"", ""category"": ""LOCATION#NEARBY_AMENITIES""}]"
Location perfect .,"[{""aspect"": ""Location"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""Location"", ""polarity"": ""POS"", ""opinion"": ""perfect"", ""category"": ""LOCATION#GENERAL""}]"
Breakfast perfect .,"[{""aspect"": ""Breakfast"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""Breakfast"", ""polarity"": ""POS"", ""opinion"": ""perfect"", ""category"": ""FOOD#TASTE""}]"
Room small but comfortable .,"[{""aspect"": ""Room"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""Room"", ""opinion"": ""comfortable"", ""polarity"": ""POS"", ""category"": ""ROOM#EXPERIENCE""}]","[{""aspect"": ""Room"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
Pity the hotel is incomplete and looks nothing like the picture on website .,"[{""aspect"": ""hotel"", ""opinion"": ""incomplete"", ""polarity"": ""NEG"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""NEG"", ""opinion"": ""complete"", ""category"": ""HOTEL#GENERAL""}]"
Staff were extremely helpful .,"[{""aspect"": ""Staff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}]","[{""aspect"": ""Staff"", ""polarity"": ""POS"", ""opinion"": ""helpful"", ""category"": ""SERVICE#HOSPITALITY""}]"
Will surely come back ! It ' s my first time in Bali and this is the only hotel that ' s conveniently located at the beach and affordable .,"[{""aspect"": ""hotel"", ""opinion"": ""conveniently located"", ""polarity"": ""POS"", ""category"": ""LOCATION#TRANSPORT_HUB""}, {""aspect"": ""hotel"", ""opinion"": ""affordable"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""located"", ""polarity"": ""POS"", ""opinion"": ""conveniently"", ""category"": ""LOCATION#GENERAL""}]"
"Although the pool is under renovation , i think over - all it ' s still okay .","[{""aspect"": ""pool"", ""opinion"": ""under renovation"", ""polarity"": ""NEG"", ""category"": ""FACILITY#MAINTAIN""}]","[{""aspect"": ""pool"", ""polarity"": ""NEU"", ""opinion"": ""under renovation"", ""category"": ""FACILITY#POOL""}]"
"the towel was dirty , the hot water wasn ' t working , the wifi was poor .","[{""aspect"": ""towel"", ""opinion"": ""dirty"", ""polarity"": ""NEG"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""hot water"", ""opinion"": ""wasn ' t working"", ""polarity"": ""NEG"", ""category"": ""ROOM#MAINTAIN""}, {""aspect"": ""wifi"", ""opinion"": ""poor"", ""polarity"": ""NEG"", ""category"": ""FACILITY#WIFI""}]","[{""aspect"": ""towel"", ""polarity"": ""NEG"", ""opinion"": ""dirty"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""hot water"", ""polarity"": ""NEG"", ""opinion"": ""wasn't working"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""wifi"", ""polarity"": ""NEG"", ""opinion"": ""poor"", ""category"": ""FACILITY#WIFI""}]"
"i ordered for the breakfast , and that was the worst breakfast ever ! ! the coffee was bad , so does the orange juice .","[{""aspect"": ""breakfast"", ""opinion"": ""worst"", ""polarity"": ""NEG"", ""category"": ""FOOD#GENERAL""}, {""aspect"": ""coffee"", ""opinion"": ""bad"", ""polarity"": ""NEG"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""orange juice"", ""opinion"": ""bad"", ""polarity"": ""NEG"", ""category"": ""FOOD#TASTE""}]","[{""aspect"": ""breakfast"", ""polarity"": ""NEG"", ""opinion"": ""worst"", ""category"": ""FOOD#GENERAL""}, {""aspect"": ""coffee"", ""polarity"": ""NEG"", ""opinion"": ""bad"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""orange juice"", ""polarity"": ""NEG"", ""opinion"": ""bad"", ""category"": ""FOOD#TASTE""}]"
This place is perfect base for any traveller .,"[{""aspect"": ""place"", ""opinion"": ""perfect"", ""polarity"": ""POS"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""place"", ""polarity"": ""POS"", ""opinion"": ""perfect base"", ""category"": ""HOTEL#GENERAL""}]"
Location only a short walk to the beach .,"[{""aspect"": ""Location"", ""opinion"": ""short walk"", ""polarity"": ""POS"", ""category"": ""LOCATION#GENERAL""}]","[{""aspect"": ""Location"", ""polarity"": ""POS"", ""opinion"": ""short walk to the beach"", ""category"": ""LOCATION#GENERAL""}]"
The staff were super friendly and were always around to help and answer questions .,"[{""aspect"": ""staff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""staff"", ""opinion"": ""always around"", ""polarity"": ""POS"", ""category"": ""SERVICE#GENERAL""}]","[{""aspect"": ""staff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#HOSPITALITY""}]"
Shower was average and could hear noise from outside but was bearable .,"[{""aspect"": ""Shower"", ""opinion"": ""average"", ""polarity"": ""NEU"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""noise"", ""opinion"": ""could hear"", ""polarity"": ""NEG"", ""category"": ""ROOM#AMBIENCE""}]","[{""aspect"": ""Shower"", ""polarity"": ""NEU"", ""opinion"": ""average"", ""category"": ""ROOM#BATHROOM""}]"
The rooms are modern with clean facilities .,"[{""aspect"": ""rooms"", ""opinion"": ""modern"", ""polarity"": ""POS"", ""category"": ""ROOM#AMBIENCE""}, {""aspect"": ""facilities"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""FACILITY#CLEANLINESS""}]","[{""aspect"": ""rooms"", ""polarity"": ""POS"", ""opinion"": ""modern"", ""category"": ""ROOM#AMBIENCE""}, {""aspect"": ""facilities"", ""polarity"": ""POS"", ""opinion"": ""clean"", ""category"": ""FACILITY#GENERAL""}]"
The hotelmstaff is friendly and helpful .,"[{""aspect"": ""hotelmstaff"", ""opinion"": ""friendly"", ""polarity"": ""POS"", ""category"": ""SERVICE#HOSPITALITY""}, {""aspect"": ""hotelmstaff"", ""opinion"": ""helpful"", ""polarity"": ""POS"", ""category"": ""SERVICE#ASSISTANCE""}]","[{""aspect"": ""hotelmstaff"", ""polarity"": ""POS"", ""opinion"": ""friendly"", ""category"": ""SERVICE#HOSPITALITY""}]"
Good value for the price you pay per room .,"[{""aspect"": ""price"", ""opinion"": ""Good value"", ""polarity"": ""NEG"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""value"", ""polarity"": ""POS"", ""opinion"": ""Good"", ""category"": ""HOTEL#PRICE""}]"
The bathrooms were fair size but the room itself was pretty small .,"[{""aspect"": ""bathrooms"", ""opinion"": ""fair size"", ""polarity"": ""NEU"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""room"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#AMBIENCE""}]","[{""aspect"": ""bathrooms"", ""polarity"": ""POS"", ""opinion"": ""fair size"", ""category"": ""ROOM#BATHROOM""}, {""aspect"": ""room"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}]"
Overall it is an average hotel in Bali .,"[{""aspect"": ""hotel"", ""opinion"": ""average"", ""polarity"": ""NEU"", ""category"": ""HOTEL#GENERAL""}]","[{""aspect"": ""hotel"", ""polarity"": ""NEU"", ""opinion"": ""average"", ""category"": ""HOTEL#GENERAL""}]"
The food was decent but they charge more than the local restaurants for less food .,"[{""aspect"": ""food"", ""opinion"": ""decent"", ""polarity"": ""NEU"", ""category"": ""FOOD#TASTE""}, {""aspect"": ""charge"", ""opinion"": ""more"", ""polarity"": ""NEG"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""food"", ""polarity"": ""POS"", ""opinion"": ""decent"", ""category"": ""FOOD#TASTE""}]"
"value for money , simple and clean .","[{""aspect"": ""money"", ""opinion"": ""value"", ""polarity"": ""POS"", ""category"": ""HOTEL#PRICE""}]","[{""aspect"": ""money"", ""polarity"": ""POS"", ""opinion"": ""value"", ""category"": ""HOTEL#PRICE""}]"
"I booked way ahead of time and as a friend had stayed I requested a room that she stayed in , that was confirmed but on arrival the would not give me that room and gave me a room that was noisy and not what I wanted .","[{""aspect"": ""room"", ""opinion"": ""noisy"", ""polarity"": ""NEG"", ""category"": ""ROOM#EXPERIENCE""}]","[{""aspect"": ""room"", ""polarity"": ""NEG"", ""opinion"": ""noisy"", ""category"": ""ROOM#EXPERIENCE""}]"
The rooms were a little on the small side but new and clean and the AC worked well .,"[{""aspect"": ""rooms"", ""opinion"": ""small"", ""polarity"": ""NEG"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""rooms"", ""opinion"": ""new"", ""polarity"": ""POS"", ""category"": ""ROOM#AMBIENCE""}, {""aspect"": ""rooms"", ""opinion"": ""clean"", ""polarity"": ""POS"", ""category"": ""ROOM#CLEANLINESS""}, {""aspect"": ""AC"", ""opinion"": ""worked well"", ""polarity"": ""POS"", ""category"": ""ROOM#AIRCON""}]","[{""aspect"": ""rooms"", ""polarity"": ""NEG"", ""opinion"": ""small"", ""category"": ""ROOM#SPACE""}, {""aspect"": ""AC"", ""polarity"": ""POS"", ""opinion"": ""new"", ""category"": ""ROOM#GENERAL""}]"
